sample,experiment,scale,accession,samples_n,n
AS08sgBPME,BiogasPlantMEsophilic,Full,PRJNA301928 (NCBI),2,241
AS09scLD,LIpidsDegradation,Lab,PRJNA283298 (NCBI),25,211
AS06rmzACSIP,ACetateSIP,Lab,1105527 (JGI),6,199
AS23ysBPME,BiogasPlantMEsophilic,Full,PRJNA311380 (NCBI),1,189
AS22ysBPME,BiogasPlantMEsophilic,Full,PRJNA311380 (NCBI),1,172
AS10tlH2TH,H2additionTHermo,Lab,PRJNA283612 (NCBI),4,159
AS21ysBPME,BiogasPlantMEsophilic,Full,PRJNA311380 (NCBI),1,159
AS07pgkLD,LignocelluloseDegradation,Lab,PRJNA319008 (NCBI),3,108
AS15tlH2ME,H2additionMEso,Lab,PRJNA283612 (NCBI),4,108
AS20ysBPTH,BiogasPlantTHermophilic,Full,PRJNA311380 (NCBI),1,104
AS27yjCOA,COAddition,Lab,PRJEB20130 (NCBI),2,76
AS04akNAM,NonAutothrophicMethanogens,Lab,DRP003295 (DDBJ),6,70
AS24abBPME,BiogasPlantMEsophilic,Full,PRJEB8813 (NCBI),1,57
AS25fmACSIPFO,ACetateSIPFOulum,Lab,PRJEB10871 (EBI),1,54
AS05jafATM,AmmoniaTolerantMicrobiome,Full,PRJNA294734 (NCBI),2,52
AS02xzSISU,SImlifiedSUbstrates,Lab,PRJNA416337 (NCBI),8,48
AS01afH2WH,H2additionWHey,Lab,PRJNA394669 (NCBI),6,34
AS4IglBPLE,BiogasPlantLEemvigfirststepsecondstep,Full,MGRAST,1,30
AS4GglBPBL,BiogasPlantBLahojfirststepsecondstep,Full,MGRAST,1,26
AS26fmACSIPLY,ACetateSIPLYnggaard,Lab,PRJEB10871 (EBI),1,20
AS4FglBPSI,BiogasPlantSInding,Full,MGRAST,1,19
AS4JglBPFI,BiogasPlantFIlskov,Full,MGRAST,1,19
AS2HglBPFA,BiogasPlantFAngel,Full,MGRAST,1,16
AS4BglBPHE,BiogasPlantHElsinger,Full,MGRAST,1,14
AS4AglBPMA,BiogasPlantMAabjerg,Full,MGRAST,1,13
AS4LglBPNY,BiogasPlantNYsted,Full,MGRAST,1,11
AS13imBPTH,BiogasPlantTHermophilic,Full,PRJEB12913 (NCBI),1,8
AS16jrsBPLL,BiogasPlantLaLagosta,Full,PRJNA356200 (NCBI),1,8
AS4DglBPLU,BiogasPlantLUntoft,Full,MGRAST,1,8
AS19jrsBPTG,BiogasPlantTorreGrossa,Full,PRJNA356200 (NCBI),1,7
AS3CglBPFA,BiogasPlantFAkse,Full,MGRAST,1,6
AS4EglBPAV,BiogasPlantAVedøre,Full,MGRAST,1,6
AS4KglBPMA,BiogasPlantMAabjerg,Full,MGRAST,1,5
AS17jrsBPGN,BiogasPlantGimeNells,Full,PRJNA356200 (NCBI),1,3
AS18jrsBPVS,BiogasPlantVilaSana,Full,PRJNA356200 (NCBI),1,3
