library_code,reads,bps,lake,layer,date,year,day,month,IMG_Genome_ID_old,IMG_Genome_ID_new_spades,notes
CSNA,6987389,1476617251,Mendota,Epilimnion,6/26/08,2008,26,6,3300001260,3300020522,
CXSP,6195624,1311610866,Mendota,Epilimnion,7/9/08,2008,9,7,3300001259,3300020500,
CSCX,3997360,856300613,Mendota,Epilimnion,7/18/08,2008,18,7,3300001248,3300020490,
CSNB,2968365,638047503,Mendota,Epilimnion,7/19/08,2008,19,7,3300001247,3300020491,
CXPP,6348822,1400572418,Mendota,Epilimnion,7/21/08,2008,21,7,3300001249,3300020489,
CSGH,3374669,721146998,Mendota,Epilimnion,7/23/08,2008,23,7,3300001287,3300020481,
CXSC,4562732,974333512,Mendota,Epilimnion,7/3/08,2008,3,7,3300001254,3300020485,
CXSH,2353829,529146904,Mendota,Epilimnion,8/5/08,2008,5,8,3300001243,3300020483,
CSGT,2927184,645655289,Mendota,Epilimnion,8/13/08,2008,13,8,3300001250,3300020487,
CXON,3116783,663750153,Mendota,Epilimnion,8/20/08,2008,20,8,3300001253,3300020486,
CSHY,5368066,1175959009,Mendota,Epilimnion,8/27/08,2008,27,8,3300001261,3300020514,
CSGW,7654970,1618303244,Mendota,Epilimnion,9/12/08,2008,12,9,3300001268,3300020507,
CXPY,2341529,515614103,Mendota,Epilimnion,9/13/08,2008,13,9,3300001244,3300020482,
CSCW,2931122,653414814,Mendota,Epilimnion,9/25/08,2008,25,9,3300001370,3300020494,
CSGY,2846719,600397505,Mendota,Epilimnion,10/8/08,2008,8,10,3300001252,3300020484,
CXSN,3237545,697264060,Mendota,Epilimnion,10/17/08,2008,17,10,3300001257,3300020488,
PTXY,12610660,2757445511,Mendota,Epilimnion,4/22/09,2009,22,4,3300002404,3300020561,
PTXW,11441897,2538187168,Mendota,Epilimnion,4/29/09,2009,29,4,3300002279,3300020565,
PTXS,8757396,1996833903,Mendota,Epilimnion,6/9/09,2009,9,6,3300002276,3300020563,
PTZH,8847525,2022301649,Mendota,Epilimnion,6/18/09,2009,18,6,3300002397,3300020560,
PTZG,11849763,2593338192,Mendota,Epilimnion,6/26/09,2009,26,6,3300002401,3300020574,
PTZC,10053315,2230923043,Mendota,Epilimnion,7/7/09,2009,7,7,3300002399,3300020559,
PTZB,11339644,2516613371,Mendota,Epilimnion,7/30/09,2009,30,7,3300002403,3300020564,
PUAA,9337325,2099785853,Mendota,Epilimnion,8/10/09,2009,10,8,3300002398,3300020555,
PUAC,8519928,1896208021,Mendota,Epilimnion,8/26/09,2009,26,8,3300002400,3300020541,
PUAH,10440560,2315618862,Mendota,Epilimnion,9/13/09,2009,13,9,3300002402,3300020566,
PUBT,5169490,1088238917,Mendota,Epilimnion,9/14/09,2009,14,9,3300002368,3300020499,
PUBB,5326418,1141014601,Mendota,Epilimnion,9/27/09,2009,27,9,3300002300,3300020501,
PUBO,5464846,1169816285,Mendota,Epilimnion,10/7/09,2009,7,10,3300002303,3300020519,
PUBU,6649835,1402340159,Mendota,Epilimnion,10/26/09,2009,26,10,3300002382,3300020528,
PUBC,6109357,1296218646,Mendota,Epilimnion,11/14/09,2009,14,11,3300002369,3300020493,
PUBA,5462455,1137929295,Mendota,Epilimnion,4/20/10,2010,20,4,3300002355,3300020495,
CXOT,7055688,1510446822,Mendota,Epilimnion,5/5/10,2010,5,5,3300001266,3300020572,
PUBH,4938892,1053678576,Mendota,Epilimnion,5/18/10,2010,18,5,3300002366,3300020497,
CXPU,11876337,2640641775,Mendota,Epilimnion,5/20/10,2010,20,5,3300001272,3300020575,
PUAP,5907154,1253039636,Mendota,Epilimnion,6/2/10,2010,2,6,3300002360,3300020520,
CXSG,3180351,710478996,Mendota,Epilimnion,6/13/10,2010,13,6,3300001255,3300020498,
PTZZ,4217928,911610122,Mendota,Epilimnion,6/15/10,2010,15,6,3300002353,3300020508,
PUAG,4938724,1049509601,Mendota,Epilimnion,6/21/10,2010,21,6,3300002354,3300020526,
PTYC,6382642,1320329436,Mendota,Epilimnion,7/6/10,2010,6,7,3300002380,3300020510,
PTWY,5764558,1206185631,Mendota,Epilimnion,7/15/10,2010,15,7,3300002270,3300020511,
CSNS,1440833,325661754,Mendota,Epilimnion,7/16/10,2010,16,7,3300001218,3300020480,
PTXB,7754310,1625483225,Mendota,Epilimnion,7/27/10,2010,27,7,3300002272,3300020551,
PTZP,6633255,1385102397,Mendota,Epilimnion,8/5/10,2010,5,8,3300002385,3300020547,
PTYH,4542728,967694278,Mendota,Epilimnion,8/17/10,2010,17,8,3300002357,3300020518,
PTYN,4736727,1005094229,Mendota,Epilimnion,8/30/10,2010,30,8,3300002356,3300020516,
CSGO,6674905,1404697484,Mendota,Epilimnion,8/31/10,2010,31,8,3300001267,3300020570,
PTYS,6527539,1362720015,Mendota,Epilimnion,9/14/10,2010,14,9,3300002365,3300020509,
PTZS,5182371,1103661080,Mendota,Epilimnion,9/26/10,2010,26,9,3300002358,3300020521,
PUAO,8902998,1887817796,Mendota,Epilimnion,10/13/10,2010,13,10,3300002396,3300020558,
PUAN,6984074,1463326458,Mendota,Epilimnion,10/29/10,2010,29,10,3300002373,3300020502,
PUAU,7254302,1524278432,Mendota,Epilimnion,11/19/10,2010,19,11,3300002379,3300020512,
PUAS,7748966,1576564233,Mendota,Epilimnion,5/3/11,2011,3,5,3300002370,3300020503,
PUBS,6253628,1361013668,Mendota,Epilimnion,5/18/11,2011,18,5,3300002367,3300020523,
PTWZ,6867768,1500551764,Mendota,Epilimnion,6/1/11,2011,1,6,3300002269,3300020492,
