Experiment Accession,Experiment Title,Organism Name,Instrument,Submitter,Study Accession,Study Title,Sample Accession,Sample Title,"Total Size, Mb",Total RUNs,Total Spots,Total Bases,Library Name,Library Strategy,Library Source,Library Selection
SRX4071232,metagenome of peat: 20110600_E1D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289075,,1048.12,1,8736914,2625811501,20110600_E1D.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071224,metagenome of peat: 20120700_P3D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289046,,6330.15,1,47975323,14438308724,20120700_P3D.20140923.NA,WGS,METAGENOMIC,RANDOM
SRX4071223,metagenome of peat: 20120700_P3D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289046,,6142.61,1,45674356,13745399365,20120700_P3D.20140929.NA,WGS,METAGENOMIC,RANDOM
SRX4071209,metagenome of peat: 20110700_P1M,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289061,,1540.59,1,12867789,3868055864,20110700_P1M.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071208,metagenome of peat: 20110700_E3M,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289060,,3397.55,1,26397827,7900351261,20110700_E3M.20140903.NA,WGS,METAGENOMIC,RANDOM
SRX4071207,metagenome of peat: 20110700_E3S,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289079,,1940.06,1,14833320,4449754276,20110700_E3S.20140903.NA,WGS,METAGENOMIC,RANDOM
SRX4071206,metagenome of peat: 20110700_E2S,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289059,,1349.91,1,11053269,3320892453,20110700_E2S.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071205,metagenome of peat: 20110700_E3D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289058,,1260.86,1,9621461,2891860552,20110700_E3D.20140903.NA,WGS,METAGENOMIC,RANDOM
SRX4071204,metagenome of peat: 20110700_E2D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289057,,1795.49,1,14707667,4422988926,20110700_E2D.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071203,metagenome of peat: 20110700_E2M,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289055,,1540.03,1,13049392,3835978496,20110700_E2M.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071201,metagenome of peat: 20110700_P1S,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289054,,1734.54,1,14591160,4381711275,20110700_P1S.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071200,metagenome of peat: 20110700_P2D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289053,,5382.76,1,40192920,12065674041,20110700_P2D.20140916.NA,WGS,METAGENOMIC,RANDOM
SRX4071197,metagenome of peat: 20110600_E1M,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289052,,1500.4,1,12392710,3722404932,20110600_E1M.20140910.NA,WGS,METAGENOMIC,RANDOM
SRX4071188,metagenome of peat: 20120700_S1D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289039,,7257.59,1,56032447,16859546108,20120700_S1D.20140923.NA,WGS,METAGENOMIC,RANDOM
SRX4071182,metagenome of peat: 20120700_S1M,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289040,,1969.82,1,15295680,4602765688,20120700_S1M.20150213.NA,WGS,METAGENOMIC,RANDOM
SRX4071181,metagenome of peat: 20120700_S1D,peat metagenome,NextSeq 500,"Australian Centre for Ecogenomics, The University ",SRP145414,peat metagenome Metagenome,SRS3289039,,7078.68,1,53602303,16127896916,20120700_S1D.20140929.NA,WGS,METAGENOMIC,RANDOM
