genome	wwtp
AalE_18-Q3-R2-46_BAT3C.116.fa	AalE_18.Q3.R2.46
AalE_18-Q3-R2-46_BAT3C.116.fa	AalW_18.Q3.R10.53
AalE_18-Q3-R2-46_BAT3C.116.fa	Ega_18.Q3.R5.49
AalE_18-Q3-R2-46_BAT3C.116.fa	EsbE_18.Q3.R3.47
AalE_18-Q3-R2-46_BAT3C.116.fa	Vibo_18.Q3.R45.57
AalE_18-Q3-R2-46_BAT3C.116.fa	Viby_18.Q3.R106.67
AalE_18-Q3-R2-46_BAT3C.189.fa	AalW_18.Q3.R10.53
AalE_18-Q3-R2-46_BAT3C.189.fa	Ejby_18.Q3.R6.50
AalE_18-Q3-R2-46_BAT3C.189.fa	OdNW_18.Q3.R42.56
AalE_18-Q3-R2-46_BAT3C.211.fa	AalE_18.Q3.R2.46
AalE_18-Q3-R2-46_BAT3C.211.fa	EsbE_18.Q3.R3.47
AalE_18-Q3-R2-46_BAT3C.211.fa	Hade_18.Q3.R52.61
AalE_18-Q3-R2-46_BAT3C.211.fa	OdNW_18.Q3.R42.56
AalE_18-Q3-R2-46_BAT3C.211.fa	Rand_18.Q3.R56.63
AalE_18-Q3-R2-46_BAT3C.211.fa	Vibo_18.Q3.R45.57
AalE_18-Q3-R2-46_BAT3C.211.fa	Viby_18.Q3.R106.67
AalE_18-Q3-R2-46_BAT3C.320.fa	AalE_18.Q3.R2.46
AalE_18-Q3-R2-46_BAT3C.320.fa	AalW_18.Q3.R10.53
AalE_18-Q3-R2-46_BAT3C.320.fa	Aved_18.Q3.R54.62
AalE_18-Q3-R2-46_BAT3C.320.fa	Damh_18.Q3.R51.60
AalE_18-Q3-R2-46_BAT3C.320.fa	EsbE_18.Q3.R3.47
AalE_18-Q3-R2-46_BAT3C.320.fa	Rand_18.Q3.R56.63
AalE_18-Q3-R2-46_BATAC.251.fa	AalE_18.Q3.R2.46
AalE_18-Q3-R2-46_BATAC.251.fa	AalW_18.Q3.R10.53
AalE_18-Q3-R2-46_BATAC.251.fa	Aved_18.Q3.R54.62
AalE_18-Q3-R2-46_BATAC.251.fa	Damh_18.Q3.R51.60
AalE_18-Q3-R2-46_BATAC.251.fa	Hirt_18.Q3.R61.65
AalE_18-Q3-R2-46_BATAC.579.fa	AalE_18.Q3.R2.46
AalE_18-Q3-R2-46_BATAC.579.fa	AalW_18.Q3.R10.53
AalE_18-Q3-R2-46_BATAC.579.fa	EsbE_18.Q3.R3.47
AalE_18-Q3-R2-46_BATAC.579.fa	EsbW_18.Q3.R4.48
AalE_18-Q3-R2-46_BATAC.579.fa	Hade_18.Q3.R52.61
AalE_18-Q3-R2-46_BATAC.579.fa	Hirt_18.Q3.R61.65
AalE_18-Q3-R2-46_BATAC.579.fa	Lyne_18.Q3.R50.59
AalE_18-Q3-R2-46_BATAC.579.fa	OdNE_18.Q3.R46.58
AalE_18-Q3-R2-46_BATAC.579.fa	OdNW_18.Q3.R42.56
AalE_18-Q3-R2-46_BATAC.579.fa	Rand_18.Q3.R56.63
AalE_18-Q3-R2-46_BATAC.579.fa	Skiv_18.Q3.R9.52
AalE_18-Q3-R2-46_BATAC.579.fa	Viby_18.Q3.R106.67
AalE_18-Q3-R2-46_MAXAC.018.fa	AalE_18.Q3.R2.46
AalE_18-Q3-R2-46_MAXAC.018.fa	AalW_18.Q3.R10.53
AalE_18-Q3-R2-46_MAXAC.018.fa	Aved_18.Q3.R54.62
AalE_18-Q3-R2-46_MAXAC.018.fa	Hade_18.Q3.R52.61
AalE_18-Q3-R2-46_MAXAC.018.fa	Hirt_18.Q3.R61.65
AalE_18-Q3-R2-46_MAXAC.018.fa	Mari_18.Q3.R65.66
AalE_18-Q3-R2-46_MAXAC.018.fa	OdNE_18.Q3.R46.58
AalE_18-Q3-R2-46_MAXAC.018.fa	OdNW_18.Q3.R42.56
AalE_18-Q3-R2-46_MAXAC.086.fa	Damh_18.Q3.R51.60
AalE_18-Q3-R2-46_MAXAC.086.fa	Lyne_18.Q3.R50.59
AalE_18-Q3-R2-46_MAXAC.086.fa	Ribe_18.Q3.R11.54
AalW_18-Q3-R10-53_BAT3C.524.fa	AalW_18.Q3.R10.53
AalW_18-Q3-R10-53_BAT3C.524.fa	Aved_18.Q3.R54.62
AalW_18-Q3-R10-53_BAT3C.524.fa	Damh_18.Q3.R51.60
AalW_18-Q3-R10-53_BAT3C.524.fa	Ega_18.Q3.R5.49
AalW_18-Q3-R10-53_BAT3C.524.fa	EsbE_18.Q3.R3.47
AalW_18-Q3-R10-53_BAT3C.524.fa	EsbW_18.Q3.R4.48
AalW_18-Q3-R10-53_BAT3C.524.fa	Fred_18.Q3.R57.64
AalW_18-Q3-R10-53_BAT3C.524.fa	Hirt_18.Q3.R61.65
AalW_18-Q3-R10-53_BAT3C.524.fa	Hjor_18.Q3.R7.51
AalW_18-Q3-R10-53_BAT3C.524.fa	Lyne_18.Q3.R50.59
AalW_18-Q3-R10-53_BAT3C.524.fa	Mari_18.Q3.R65.66
AalW_18-Q3-R10-53_BAT3C.524.fa	Ribe_18.Q3.R11.54
AalW_18-Q3-R10-53_BAT3C.524.fa	Vibo_18.Q3.R45.57
AalW_18-Q3-R10-53_BATAC.245.fa	AalW_18.Q3.R10.53
AalW_18-Q3-R10-53_BATAC.245.fa	Aved_18.Q3.R54.62
AalW_18-Q3-R10-53_BATAC.245.fa	Mari_18.Q3.R65.66
AalW_18-Q3-R10-53_BATAC.339.fa	AalW_18.Q3.R10.53
AalW_18-Q3-R10-53_BATAC.339.fa	Aved_18.Q3.R54.62
AalW_18-Q3-R10-53_BATAC.339.fa	Mari_18.Q3.R65.66
AalW_18-Q3-R10-53_BATAC.909.fa	AalW_18.Q3.R10.53
AalW_18-Q3-R10-53_BATAC.909.fa	Aved_18.Q3.R54.62
AalW_18-Q3-R10-53_BATAC.909.fa	Lyne_18.Q3.R50.59
AalW_18-Q3-R10-53_BATAC.909.fa	Skiv_18.Q3.R9.52
AalW_18-Q3-R10-53_MAXAC.392.fa	Aved_18.Q3.R54.62
AalW_18-Q3-R10-53_MAXAC.392.fa	Ejby_18.Q3.R6.50
AalW_18-Q3-R10-53_MAXAC.392.fa	Fred_18.Q3.R57.64
AalW_18-Q3-R10-53_MAXAC.392.fa	OdNW_18.Q3.R42.56
Aved_18-Q3-R54-62_BATAC.392.fa	Damh_18.Q3.R51.60
Aved_18-Q3-R54-62_BATAC.392.fa	EsbW_18.Q3.R4.48
Aved_18-Q3-R54-62_BATAC.392.fa	Hade_18.Q3.R52.61
Aved_18-Q3-R54-62_BATAC.392.fa	Lyne_18.Q3.R50.59
Aved_18-Q3-R54-62_BATAC.392.fa	Mari_18.Q3.R65.66
Aved_18-Q3-R54-62_BATAC.392.fa	OdNE_18.Q3.R46.58
Aved_18-Q3-R54-62_BATAC.392.fa	OdNW_18.Q3.R42.56
Aved_18-Q3-R54-62_BATAC.843.fa	AalE_18.Q3.R2.46
Aved_18-Q3-R54-62_BATAC.843.fa	Aved_18.Q3.R54.62
Aved_18-Q3-R54-62_BATAC.843.fa	Ejby_18.Q3.R6.50
Aved_18-Q3-R54-62_BATAC.843.fa	EsbE_18.Q3.R3.47
Aved_18-Q3-R54-62_BATAC.843.fa	EsbW_18.Q3.R4.48
