bin,code,classification,completeness,contamination,genome_size_bp,contigs,average_contig_size_bp,percent_gc,rRNA_count,tRNA_count,rRNA_5S,rRNA_16S,rRNA_23S,abund_2015-07-16,abund_2015-07-24,abund_2015-08-06,avg_abundance
coassembly-bin.171,ACIDO1,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__;s__,98.39,2.86,6494282,365,17791,64.5,3,48,1,1,1,0.043864764,0.061369374,0.15308625,0.086106796
coassembly-bin.81,ACIDO2,d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__UBA7656;f__;g__;s__,100,2.08,6148772,46,133664,34.5,0,83,0,0,0,0.015764564,0.014295182,0.30104387,0.110367872
coassembly-bin.76,ARMA1,d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__UBA2391;s__,100,0,2557500,5,511480,53.2,3,47,1,1,1,1.8768618,0.8629404,0.31482753,1.01820991
coassembly-bin.165,BACT1,d__Bacteria;p__Bacteroidota;c__;o__;f__;g__;s__,100,0,4310979,137,31460,41.5,2,40,2,0,0,0.12322155,0.027236603,0.082437575,0.077631909
coassembly-bin.181,BACT3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__,99.05,0.71,3605177,35,103001,37.3,3,33,1,1,1,0.109721676,0.06721885,0.020343158,0.065761228
coassembly-bin.112,BACT2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__2-12-FULL-35-15;g__;s__,95.71,0.98,3466990,75,46223,35.2,3,32,1,1,1,0.122274406,0.027940577,0.023150658,0.057788547
coassembly-bin.30,CHIT1,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__AKYH767;f__b-17BO;g__;s__,100,0,3954094,7,564856,36.8,4,33,2,1,1,0.080392845,0.12426777,0.26855224,0.157737618
POS2015-07-16-bin.14,CHIT2,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,99.51,0.25,3262235,2,1631117,42.5,3,36,1,1,1,2.73174,1.6226647,3.0549881,2.4697976
coassembly-bin.62,CHIT3,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__;s__,100,0,3717422,3,1239140,46,1,37,0,1,0,0.646682,0.61426944,0.589088,0.616679813
POS2015-07-16-bin.51,CHIT4,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__,99.01,0.25,4005892,7,572270,49.5,3,42,1,1,1,0.64535517,0.73814744,1.2269762,0.870159603
POS2015-07-16-bin.52,CHIT6,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__JJ008;s__,99.51,0.74,4619850,31,149027,46.1,1,37,1,0,0,0.23357409,0.20219594,0.15554471,0.197104913
